Tanggal;Nama_Toko;Nama_Barang;Qty;Harga_Satuan;Total_Harga
02/01/2025;MM AERO;AIM Rasa Coconut 350g / Biskuit Rasa Kelapa 350 g;18;39400;709200
02/01/2025;MM AERO;AIM Gabin Cokelat 120g / Biskuit AIM Gabin Coklat 120g;45;6400;288000
02/01/2025;MM AERO;Bogabis Bon-Bon 180g / Biskuit Bon-Bon 180 gr;46;8800;404800
02/01/2025;MM AERO;AIM Malkist Crackers 125g;34;6900;234600
02/01/2025;MM AERO;Bogabis Gabin Army Butter 125g;59;6800;401200
02/01/2025;TOKO ARJUNA;AIM Aneka Square Puff 300g;30;12500;375000
02/01/2025;TOKO ARJUNA;AIM Cocoa Puff 200g / Biskuit Cocoa Puff 200 gr;43;9800;421400
02/01/2025;TOKO ARJUNA;Bogabis Malkist Renyah 100 gr / Cracker Malkist 100g;24;5500;132000
02/01/2025;TOKO BU SUSI;Bogabis Gabin Army Butter 125g;29;6800;197200
02/01/2025;TOKO BU SUSI;Bogabis Malkist Renyah 100 gr / Cracker Malkist 100g;27;5500;148500
02/01/2025;TOKO BU SUSI;Kangguru Kacang Crackers 150 gr / Biskuit Krim Kacang 150g;24;9000;216000
02/01/2025;TOKO BU SUSI;AIM Biskuit Kelapa Muda 250g;37;12200;451400
02/01/2025;TOKO BU SUSI;AIM Aneka Square Puff 300g;30;12500;375000
02/01/2025;KOP SURYA SEKAWAN;AIM Malkist Crackers 125g;28;6900;193200
02/01/2025;KOP SURYA SEKAWAN;Kangguru Bunga Gem - 5 Pack;32;26000;832000
02/01/2025;KOP SURYA SEKAWAN;Kangguru Butter Coconut 100 gr;59;4200;247800
02/01/2025;KOP SURYA SEKAWAN;Anekabis Gabin Cokelat 350g;26;33400;868400
02/01/2025;BU LELLY ( TANTOWI YAHYA );AIM Biskuit Kelapa Muda 250g;59;12200;719800
02/01/2025;BU LELLY ( TANTOWI YAHYA );AIM Vegetable Crackers 180 Gr;44;13700;602800
02/01/2025;BU LELLY ( TANTOWI YAHYA );Masterbis Gabin Master 120g;28;6400;179200
02/01/2025;PT. SAUDARA SEJATI SEJAHTERA;AIM Anekabis Gabin Oat SP12 220g/10 Pcks @22g;27;25000;675000
02/01/2025;PT. SAUDARA SEJATI SEJAHTERA;AIM Milk Cookies 250g / Biskuit AIM Rasa Susu 250g;46;12200;561200
02/01/2025;PT. SAUDARA SEJATI SEJAHTERA;Bogabis Chocolate Cream 180 gr / Biskuit Rasa Coklat 180g;35;8800;308000
02/01/2025;CV. FIIPA KAROMAH;Kangguru Durian Biscuits - 10 Pack;17;16000;272000
02/01/2025;CV. FIIPA KAROMAH;Bogabis Gabin Army Butter 125g;56;6800;380800
02/01/2025;CV. FIIPA KAROMAH;Bogabis Rose Cream 180 gr / Biskuit Bogabis Rose dengan Krim 180g;59;8800;519200
02/01/2025;CV. FIIPA KAROMAH;Kangguru Assorted Biscuits 1000g;7;100200;701400
02/01/2025;KURNIA II;AIM Roasted Corn 180g / Biskuit AIM Corn 180g;57;13000;741000
02/01/2025;KURNIA II;Bogabis Square Puff 275 gr;43;11600;498800
02/01/2025;KURNIA II;Anekabis Gabin Oat 350gr / Gabin dengan Oat 350g;31;33400;1035400
02/01/2025;KURNIA II;AIM Toasty Cheese 180g / Snack AIM Rasa Keju 180g;52;13000;676000
02/01/2025;KURNIA II;Kangguru Durian Biscuit 30g;49;1600;78400
02/01/2025;KURNIA II;Kangguru Bon Bon 200g / Biskuit Rasa Cokelat 200gr;23;9500;218500
02/01/2025;PT. REMAJA KLAMPISJAYA SEJAHTERA;AIM Aneka Cream Crackers 300g;29;12500;362500
02/01/2025;PT. REMAJA KLAMPISJAYA SEJAHTERA;AIM Aneka Square Puff 300g;49;12500;612500
02/01/2025;TOKO BAGONG;Kangguru Bunga Gem 90g / Biskuit Bunga Gem 90g;47;5200;244400
02/01/2025;TOKO BAGONG;AIM Marie Susu 100g / Biskuit Rasa Susu Marie 100 gr;29;5300;153700
02/01/2025;TOKO BAGONG;Bogabis Peanut Cream 180 gr / Biskuit Bogabis dengan Krim Kacang 180g;31;8800;272800
02/01/2025;CV. SARIKAT JAYA SUKSES;Kangguru Bon Bon 200g / Biskuit Rasa Cokelat 200gr;46;9500;437000
02/01/2025;CV. SARIKAT JAYA SUKSES;Bogabis Gabin Army Butter 125g;41;6800;278800
02/01/2025;CV. SARIKAT JAYA SUKSES;Kangguru Kacang Crackers 150 gr / Biskuit Krim Kacang 150g;32;9000;288000
02/01/2025;CV. SARIKAT JAYA SUKSES;Bogabis Malkist Renyah 100 gr / Cracker Malkist 100g;41;5500;225500
02/01/2025;CV. SARIKAT JAYA SUKSES;B&B Biskuit Kacang 120 gr / Biskuit Krim Kacang 120g;32;7300;233600
02/01/2025;CV. SARIKAT JAYA SUKSES;AIM Crispy Lemon 150g;45;9500;427500
02/01/2025;PRIMKOPAL RUMKITAL DR RAMELAN;Kangguru Durian Biscuits - 10 Pack;14;16000;224000
02/01/2025;PRIMKOPAL RUMKITAL DR RAMELAN;Kangguru Rose Chocolate 100 gr;40;4400;176000
02/01/2025;PRIMKOPAL RUMKITAL DR RAMELAN;Bogabis Gabin Army Butter 125g;35;6800;238000
02/01/2025;PRIMKOPAL RUMKITAL DR RAMELAN;Kangguru Rose Cream 100 gr;30;4400;132000
02/01/2025;PRIMKOPAL RUMKITAL DR RAMELAN;Anekabis Gabin Cokelat 350g;26;33400;868400
02/01/2025;PRIMKOPAL RUMKITAL DR RAMELAN;Kangguru Durian 100 gr / Biskuit Kangguru Rasa Durian 100g;22;4200;92400
02/01/2025;PRIMKOPAL AAL PERAK;Kangguru Butter Coconut 100 gr;41;4200;172200
02/01/2025;PRIMKOPAL AAL PERAK;Bogabis Chocolate Cream 180 gr / Biskuit Rasa Coklat 180g;26;8800;228800
02/01/2025;PRIMKOPAL AAL PERAK;B&B Gabin Traditional 210 gr / Biskuit Gabin 210g;52;10100;525200
02/01/2025;PRIMKOPAL AAL PERAK;Bogabis Bon-Bon 180g / Biskuit Bon-Bon 180 gr;51;8800;448800
02/01/2025;PRIMKOPAL AAL PERAK;Masterbis Gabin Master 120g;49;6400;313600
02/01/2025;PRIMKOPAL AAL PERAK;AIM Mini Assorted Biscuits 150g;24;8400;201600
02/01/2025;KOPERASI RKZ;AIM Milk Cookies 250g / Biskuit AIM Rasa Susu 250g;26;12200;317200
02/01/2025;KOPERASI RKZ;AIM Malkist Crackers 125g;57;6900;393300
02/01/2025;KOPERASI RKZ;Kangguru Durian Biscuit 30g;38;1600;60800
02/01/2025;KOPERASI RKZ;AIM Mini Assorted Biscuits 150g;58;8400;487200
02/01/2025;NUSA INDAH 1;Bogabis Assorted Tin 350gr;14;52100;729400
02/01/2025;NUSA INDAH 1;Kangguru Durian Biscuits - 10 Pack;18;16000;288000
02/01/2025;NUSA INDAH 1;Kangguru Rose Cream 100 gr;59;4400;259600
02/01/2025;NUSA INDAH 1;Kangguru Durian 100 gr / Biskuit Kangguru Rasa Durian 100g;25;4200;105000
02/01/2025;NUSA INDAH 1;Kangguru Rose Chocolate 100 gr;47;4400;206800
02/01/2025;CV. RADA JAYA GROUP;Bogabis Durian Cream 180gr / Biskuit Rasa Durian 180 g;34;8800;299200
02/01/2025;CV. RADA JAYA GROUP;Anekabis Gabin Oat 350gr / Gabin dengan Oat 350g;24;33400;801600
02/01/2025;ZAENAL SNACK;Kangguru Bunga Gem 90g / Biskuit Bunga Gem 90g;23;5200;119600
02/01/2025;ZAENAL SNACK;AIM Aneka Assorted 1000g / Kaleng Biskuit AIM Assorted 1Kg;14;100200;1402800
02/01/2025;ZAENAL SNACK;AIM Cream Crackers 1000g / Kaleng AIM Cream Cracker 1Kg;6;90200;541200
02/01/2025;ZAENAL SNACK;Anekabis Gabin Cokelat 350g;23;33400;768200
02/01/2025;ZAENAL SNACK;AIM Vegetable Crackers 180 Gr;57;13700;780900
02/01/2025;ZAENAL SNACK;B&B Biskuit Kacang 120 gr / Biskuit Krim Kacang 120g;51;7300;372300
02/01/2025;CV. HOKKY FAMILI;AIM Malkist Crackers 125g;28;6900;193200
02/01/2025;CV. HOKKY FAMILI;Bogabis Assorted Tin 350gr;15;52100;781500
02/01/2025;CV. HOKKY FAMILI;Anekabis Gabin Oat 350gr / Gabin dengan Oat 350g;16;33400;534400
02/01/2025;REGENCY 21 CLUB SPORT;Kangguru Bon Bon 200g / Biskuit Rasa Cokelat 200gr;37;9500;351500
02/01/2025;REGENCY 21 CLUB SPORT;AIM Roasted Corn 180g / Biskuit AIM Corn 180g;28;13000;364000
02/01/2025;REGENCY 21 CLUB SPORT;AIM Biskuit Kelapa Muda 250g;44;12200;536800
02/01/2025;REGENCY 21 CLUB SPORT;AIM Cocoa Puff 200g / Biskuit Cocoa Puff 200 gr;40;9800;392000
02/01/2025;REGENCY 21 CLUB SPORT;Kangguru Bunga Gem 90g / Biskuit Bunga Gem 90g;26;5200;135200
02/01/2025;REGENCY 21 CLUB SPORT;AIM Malkist Crackers 125g;54;6900;372600
02/01/2025;PANJANG DJIWA DJAJA;Bogabis Crispy Lemon 200gr;22;20000;440000
02/01/2025;PANJANG DJIWA DJAJA;Bogabis Assorted Tin 350gr;5;52100;260500
02/01/2025;PANJANG DJIWA DJAJA;AIM Aneka Cream Crackers 300g;49;12500;612500
02/01/2025;BOGA JAYA JUANDA;Kangguru Assorted Biscuits 1000g;14;100200;1402800
02/01/2025;BOGA JAYA JUANDA;Bogabis Gabin Army Butter 125g;39;6800;265200
03/01/2025;DUMADI MART;Bogabis Assorted Tin 350gr;11;52100;573100
03/01/2025;DUMADI MART;Kangguru Kacang Crackers 150 gr / Biskuit Krim Kacang 150g;53;9000;477000
03/01/2025;DUMADI MART;AIM Aneka Square Puff 300g;27;12500;337500
03/01/2025;DUMADI MART;AIM Crispy Lemon 150g;23;9500;218500
03/01/2025;DUMADI MART;Kangguru Durian 100 gr / Biskuit Kangguru Rasa Durian 100g;34;4200;142800
03/01/2025;KIOS CMWI;Bogabis Malkist Renyah 100 gr / Cracker Malkist 100g;31;5500;170500
03/01/2025;KIOS CMWI;Bogabis Bon-Bon 180g / Biskuit Bon-Bon 180 gr;35;8800;308000
03/01/2025;KIOS CMWI;Anekabis Gabin Oat 350gr / Gabin dengan Oat 350g;21;33400;701400
03/01/2025;KIOS CMWI;AIM Crispy Crackers 150g / Biskuit Cirspy Cracker 150 gr;52;9500;494000
03/01/2025;KIOS CMWI;AIM Toasty Cheese 180g / Snack AIM Rasa Keju 180g;31;13000;403000
03/01/2025;KIOS CMWI;Kangguru Bon Bon 200g / Biskuit Rasa Cokelat 200gr;54;9500;513000
03/01/2025;DIN FARMA;Kangguru Kacang Crackers 150 gr / Biskuit Krim Kacang 150g;24;9000;216000
03/01/2025;DIN FARMA;AIM Rasa Durian 350g / Biskuit Rasa Durian 350 gr;31;39400;1221400
03/01/2025;DIN FARMA;AIM Good Morning Wafer 300g;22;39400;866800
03/01/2025;DIN FARMA;Kangguru Rose Chocolate 100 gr;29;4400;127600
03/01/2025;PT. HADI RETAIL INDONESIA;Bogabis Durian Cream 180gr / Biskuit Rasa Durian 180 g;36;8800;316800
03/01/2025;PT. HADI RETAIL INDONESIA;AIM Biskuit Kelapa Muda 250g;57;12200;695400
03/01/2025;PT. HADI RETAIL INDONESIA;AIM Milk Cookies 250g / Biskuit AIM Rasa Susu 250g;52;12200;634400
03/01/2025;PT. HADI RETAIL INDONESIA;AIM Gabin Cokelat 120g / Biskuit AIM Gabin Coklat 120g;50;6400;320000
03/01/2025;KIOS MON-MON;Bogabis Square Puff 275 gr;29;11600;336400
03/01/2025;KIOS MON-MON;AIM Cocoa Puff 200g / Biskuit Cocoa Puff 200 gr;30;9800;294000
03/01/2025;TOKO ZIGMA PASURUAN;AIM Gabin Cokelat 120g / Biskuit AIM Gabin Coklat 120g;47;6400;300800
03/01/2025;TOKO ZIGMA PASURUAN;AIM Malkist Crackers 125g;42;6900;289800
03/01/2025;TOKO ZIGMA PASURUAN;Bogabis Peanut Cream 180 gr / Biskuit Bogabis dengan Krim Kacang 180g;22;8800;193600
03/01/2025;TOKO ZIGMA PASURUAN;Bogabis Malkist Renyah 100 gr / Cracker Malkist 100g;44;5500;242000
03/01/2025;TOKO ZIGMA PASURUAN;AIM Good Morning Wafer 300g;16;39400;630400
03/01/2025;TOKO ZIGMA PASURUAN;Bundling Beli 2 Gratis 1 Bogabis Square Puff;24;19000;456000
03/01/2025;TOKO ZIGMA;Bogabis Malkist Renyah 100 gr / Cracker Malkist 100g;53;5500;291500
03/01/2025;TOKO ZIGMA;Kangguru Rose Chocolate 100 gr;39;4400;171600
03/01/2025;TOKO ZIGMA;Kangguru Assorted Biscuits 1000g;12;100200;1202400
03/01/2025;MINI SNACK;AIM Mini Assorted Biscuits 150g;31;8400;260400
03/01/2025;MINI SNACK;Kangguru Butter Coconut 100 gr;42;4200;176400
03/01/2025;MINI SNACK;Kangguru Durian Biscuits - 10 Pack;22;16000;352000
03/01/2025;MINI SNACK;Kangguru Rose Cream 100 gr;40;4400;176000
03/01/2025;MINI SNACK;AIM Crispy Crackers 150g / Biskuit Cirspy Cracker 150 gr;31;9500;294500
03/01/2025;MINI SNACK;Bogabis Gabin Army Kelapa 125g;31;6800;210800
03/01/2025;KOP. BCA;Bogabis Peanut Cream 180 gr / Biskuit Bogabis dengan Krim Kacang 180g;57;8800;501600
03/01/2025;KOP. BCA;Bogabis Durian Cream 180gr / Biskuit Rasa Durian 180 g;43;8800;378400
03/01/2025;KOP. BCA;Bogabis Square Puff 275 gr;55;11600;638000
03/01/2025;KOP. BCA;Anekabis Gabin Cokelat 350g;15;33400;501000
03/01/2025;KOP. BCA;Kangguru Kacang Crackers 150 gr / Biskuit Krim Kacang 150g;59;9000;531000
03/01/2025;KOP. BCA;AIM Marie Susu 100g / Biskuit Rasa Susu Marie 100 gr;32;5300;169600
03/01/2025;IBU IVON;AIM Cocoa Puff 200g / Biskuit Cocoa Puff 200 gr;44;9800;431200
03/01/2025;IBU IVON;B&B Gabin Traditional 210 gr / Biskuit Gabin 210g;57;10100;575700
03/01/2025;IBU IVON;Bogabis Malkist Renyah 100 gr / Cracker Malkist 100g;57;5500;313500
03/01/2025;WIDASARI BAKERY;AIM Rasa Coconut 350g / Biskuit Rasa Kelapa 350 g;15;39400;591000
03/01/2025;WIDASARI BAKERY;B&B Gabin Traditional 210 gr / Biskuit Gabin 210g;51;10100;515100
03/01/2025;WIDASARI BAKERY;AIM Aneka Square Puff 300g;42;12500;525000
03/01/2025;WIDASARI BAKERY;AIM Cream Crackers 1000g / Kaleng AIM Cream Cracker 1Kg;5;90200;451000
03/01/2025;WIDASARI BAKERY;AIM Gabin Cokelat 120g / Biskuit AIM Gabin Coklat 120g;50;6400;320000
03/01/2025;PT. MIASINDO MULTI PANGAN SEJAHTERA;AIM Good Morning Wafer 300g;13;39400;512200
03/01/2025;PT. MIASINDO MULTI PANGAN SEJAHTERA;AIM Cream Crackers 1000g / Kaleng AIM Cream Cracker 1Kg;5;90200;451000
03/01/2025;PT. MIASINDO MULTI PANGAN SEJAHTERA;AIM Crispy Lemon 150g;42;9500;399000
03/01/2025;PT. MIASINDO MULTI PANGAN SEJAHTERA;AIM Marie Susu 100g / Biskuit Rasa Susu Marie 100 gr;22;5300;116600
03/01/2025;PT. MIASINDO MULTI PANGAN SEJAHTERA;Kangguru Rose Cream 100 gr;53;4400;233200
03/01/2025;PT. MIASINDO MULTI PANGAN SEJAHTERA;Kangguru Durian Biscuits - 10 Pack;28;16000;448000
03/01/2025;KERANJANG MARKET;Kangguru Bon Bon 200g / Biskuit Rasa Cokelat 200gr;31;9500;294500
03/01/2025;KERANJANG MARKET;AIM Vegetable Crackers 180 Gr;45;13700;616500
03/01/2025;KERANJANG MARKET;AIM Cocoa Puff 200g / Biskuit Cocoa Puff 200 gr;56;9800;548800
03/01/2025;KERANJANG MARKET;Bogabis Gabin Army Kelapa 125g;58;6800;394400
03/01/2025;KERANJANG MARKET;Bogabis Chocolate Cream 180 gr / Biskuit Rasa Coklat 180g;31;8800;272800
03/01/2025;TATIK SNACK;Bogabis Malkist Renyah 100 gr / Cracker Malkist 100g;32;5500;176000
03/01/2025;TATIK SNACK;Bundling Beli 2 Gratis 1 Bogabis Square Puff;30;19000;570000
03/01/2025;TATIK SNACK;AIM Roasted Chicken 180g / Snack Crackers 180 gr;23;13000;299000
03/01/2025;TATIK SNACK;Bogabis Gabin Army Butter 125g;56;6800;380800
03/01/2025;TATIK SNACK;Kangguru Durian Biscuit 30g;38;1600;60800
03/01/2025;TATIK SNACK;AIM Cream Crackers 1000g / Kaleng AIM Cream Cracker 1Kg;14;90200;1262800
03/01/2025;TATA SHOP;Kangguru Durian Biscuits - 10 Pack;23;16000;368000
03/01/2025;TATA SHOP;Anekabis Gabin Oat 350gr / Gabin dengan Oat 350g;30;33400;1002000
03/01/2025;TATA SHOP;AIM Aneka Square Puff 300g;42;12500;525000
03/01/2025;TATA SHOP;AIM Aneka Cream Crackers 300g;58;12500;725000
03/01/2025;TATA SHOP;Bogabis Bon-Bon 180g / Biskuit Bon-Bon 180 gr;53;8800;466400
03/01/2025;TOKO DUKUT;Kangguru Durian Biscuits - 10 Pack;12;16000;192000
03/01/2025;TOKO DUKUT;Kangguru Rose Chocolate 100 gr;40;4400;176000
